Prof_Course, The instructor clearly defined and explained the course objectives and expectations, The instructor was prepared for each instructional activity, The instructor communicated information effectively, The instructor encouraged me to take an active role in my own learning, The instructor was available to students either electronically or in person
Barragan Peyrani-Horacio Enrique-CHEM-2181-005/006-ORGANIC CHEMISTRY I LAB,4.25,4.25,4.3333,4.3333,4.1667
Barragan Peyrani-Horacio Enrique-CHEM-2181-011/012-ORGANIC CHEMISTRY I LAB,4.4444,4.4444,4.4444,4.2222,4.3333
Barrett-Rosa-SPAN-1441-016-BEGINNING SPANISH I,4,3.2,3.4,4.4,4
Barrett-Rosa-SPAN-1441-019-BEGINNING SPANISH I,4.1667,4,4.1667,4.5,4.5
Barton-Larry-EDUC-4647-003-SECONDARY STUDENT TEACHING,3.5,3.6667,2.8333,3.5,3.3333
Barton-Larry-MUSI-1103-001-HIGH BRASS CLASS,4.4,4.6,4.6,4.4,4.2
Barton-Larry-MUSI-1104-001-WOODWIND CLASS I,4.3333,4.1667,3.8333,4.8333,3.6667
Basham-Randall-SOCW-6361-001-STRESS CRISIS AND COPING,3.8235,4.2941,3.5882,4.2353,4.4118
Basu-Asish-GEOL-1315-001-METEORITES AND ASTEROIDS,2.5714,3.2857,2.4286,3.7143,4
Basu-Asish-GEOL-2445-001-MINERALOGY,3.1667,4,2.4583,3.5,3.6667
Batchelor-Jolynne-SOCW-6326-003-DIRECT PRACT WITH CHILD & FAM,4.4286,3.7143,3.7143,4.1429,3.8571
Batchelor-Jolynne-SOCW-6326-004-DIRECT PRACT WITH CHILD & FAM,4.4286,4.1429,4,4.2857,3.6667
Bateman-Oliver-HIST-1312-010-U.S. HISTORY SINCE 1865,4.5833,4.625,4.625,4.6667,4.4348
Bateman-Oliver-HIST-3318-001-U.S. LEGAL HISTORY SINCE 1877,4.8333,4.9167,4.8333,4.5833,4.6667
Bateman-Oliver-HIST-4101-001-MOOT COURT,4.8,4.8,4.8,5,4.8
Bauman-Courtney-MAVS-1000-074-First Year Experience,4,4,4,4,4.125
Baxley-Susan-NURS-5327-005-EXPLOR SCI & THEORIES-NURSING,4.1667,3.9444,3.6667,4.1667,4.4444
Bayram-Ayten-POLS-4360-001-THEOR INT SYS,4.7692,4.7692,4.7692,4.8462,4.8462
Bayram-Ayten-POLS-5384-001-TOPICS INTERNATIONAL RELATIONS,4.7692,4.7692,4.7692,4.6923,4.4167
Beamon-Krystal-SOCI-1311-001-INTRO TO SOCIO,4.2292,4.2292,4.3542,4.1702,4.0833
Beamon-Krystal-SOCI-1311-002-INTRO TO SOCIO,4.2973,4.3243,4.4324,4.3784,4.2432
Beamon-Krystal-SOCI-4341-001 & AAST-4341-001-INEQUALITIES IN PUBLIC EDUC,3.7143,2.5714,3,4.1429,3
Beck-Gyorgy-ART-1305-006-TWO-DIMENSIONAL DESIGN,1.8333,1.8333,2,4,3.3333
Beck-Gyorgy-ART-3384-001-CINEMATOGRAPHY,4,4,3.3333,3.6667,4
Becker-Eric-CSE-1105-001-INTRO COMPUTER SCI & ENGR,4,4.4167,4.1538,3.9231,3.9231
Becker-Eric-CSE-1105-002-INTRO COMPUTER SCI & ENGR,4.64,4.64,4.6,4.375,4.48
Becker-Eric-CSE-1105-003-INTRO COMPUTER SCI & ENGR,4.4545,4.4545,4.4091,4.3182,4.3636
Becker-Eric-CSE-1325-001-OBJECT-ORIENTED PROGRAMMING,4.7692,4.7308,4.4615,4.7308,4.8077
Beebe-Kathryne-HIST-2301-004-HISTORY OF CIVILIZATION,4.9286,4.7857,4.8571,5,4.9286
Beebe-Kathryne-HIST-5330-001-ANCIENT & MEDIEVAL HISTORY,5,5,4.8333,4.8333,4.8333
Behan-Deborah-NURS-5366-002-PRINC OF RESEARCH IN NURSING,4.4444,4.4444,4.3333,4.4444,4.7778
Behan-Deborah-NURS-5366-003-PRINC OF RESEARCH IN NURSING,4.5,5,4.5,5,4.75
Bell-Bradley-ARCH-4343-001-DIGITAL FAB METHODOLOGY & ARCH-5339-001-Digital Tectonics,4.3333,4,4.1111,4.8889,4.2222
Bell-Bradley-ARCH-4557-001-DESIGN STUDIO: ARCHITECTURE IV,4.6,4.2,3.8,4.8,3.8
Bell-Myrtle-MANA-4326-001-DIVERSITY IN ORGANIZATIONS,4.8571,4.619,4.7143,4.8571,4.8571
Bell-Myrtle-MANA-5332-001-DIVERSITY IN ORGANIZATIONS,4.625,4.5,4.5,4.875,4.75
Belli-Melia-ART-3319-001-ART & ARCHITECTURE OF INDIA,4.5,4.6667,4.4167,4.3333,4.5
Belli-Melia-ART-4307-001-SPECIAL TOPICS IN ASIAN ART,4.5,5,4.5,4.5,5
Benero-Paul-ART-1301-001-ART APPRECIATION,4.4318,4.4318,4.4286,4.2045,4.2727
Benson-George-MANA-5329-001-ORGANIZATIONAL RESEARCH,4.1111,4.1111,4.1111,4.4444,4.1111
Benson-George-MANA-5341-001-STAFFING & PERFORMANCE MNGMNT,4.2,4.55,4.1,4.25,4.3
Benson-Jordan-PHYS-1301-003-PHYSICS FOR NON SPECIALISTS I,4.6667,4.6667,4.6667,4.5,4.6667
Berg-Stephen-MAVS-1000-066-First Year Experience,4.3333,4.5,4.1667,4.6667,4.5
Berning-Andrew-EDTC-5301-001-CUR APP OF TECH IN EDUC,5,5,5,4.8889,5
Bertch-Felicia-THEA-1303-001-VOCAL PERF I: FUNDAMENTALS,4.6667,4.6667,4.3333,5,4.6667
Bertch-Felicia-THEA-1303-002-VOCAL PERF I: FUNDAMENTALS,4.6667,4.6667,4.6667,4.6667,4.8
Bertch-Felicia-THEA-1307-002-ACTING I: BASIC TECHNIQUES,5,5,5,5,4.625
Bertch-Felicia-THEA-1342-004-THEATRE & FILM APPRECIATION,4.4667,4.5,4.4483,4.1667,4.4
Beston-Shannon-BIOL-1441-022-CELL MOL BIOL,3.5,3.875,3.375,4,4.375
Beston-Shannon-BIOL-1441-052-CELL MOL BIOL,4.3,4.4,4.3,4.5,4.5
Betran-Esther-BIOL-5312-001-ADVANCED GENETICS,4.5,4.6,4.3,4.5,4.8
Bezboruah-Karabi-URPA-5345-500-EVALUATION RESEARCH,4.1579,4.4737,3.5263,4.3684,4.4737
Bezboruah-Karabi-URPA-5355-500-NON-PROFIT ORG IN PUB POLICY,3.9091,4,4.0909,4.1818,4.2273
Bhan-Arunoday-CHEM-2182-003-ORGANIC CHEMISTRY II LAB,4.4615,4.3077,4.3077,4.0769,4.1538
Bhan-Arunoday-CHEM-2182-007-ORGANIC CHEMISTRY II LAB,4.75,4.75,4.75,4.75,4.5
Bhatt-Arpita-CE-4350-001 & CE-5328-001 / 002-FUNDAMENTALS OF AIR POLLUTION,4.1379,4.1379,3.9655,4.1034,4.4138
Bhatt-Arpita-CE-5317-001-ENVIRONMENTAL ENGINEERING PROCESS AND ANALYSIS LAB,4.6,4.8,4.75,4,4.2
Bhatt-Arpita-CE-5317-101-ENVIRONMENTAL ENGINEERING PROCESS AND ANALYSIS LAB,4.5,4.5,4.5,4.25,4.25
Bhattarai-Shree-PHYS-1441-006-GENERAL COLLEGE PHYSICS I,3.5,4,3,3.625,3.875
Bhattarai-Shree-PHYS-1442-002-GENERAL COLLEGE PHYSICS II,4,4.5,3.375,3.875,4.625
Bhattarai-Shree-PHYS-1443-012-GENERAL TECHNICAL PHYSICS I,4.3333,4.4444,4.1111,4,4.1111
Bhattarai-Shree-PHYS-1443-014-GENERAL TECHNICAL PHYSICS I,4.1429,4.2857,3.4286,4.1429,4
Bhattarai-Shree-PHYS-1444-012-GENERAL TECHNICAL PHYSICS II,3.3,3.3,3.3,3.5,3.3
Bhawal-Ruchika-CHEM-2285-001-QUANTITATIVE CHEMISTRY LAB,4.75,4.875,4.875,4.625,4.875
Bing-Robert-CRCJ-3380-003 & AAST-3380-006-RACE CRIME AND JUSTICE,4.3333,4.3333,4.381,4.381,4.2857
Bing-Robert-CRCJ-3380-103-RACE CRIME AND JUSTICE,5,4.8333,5,5,5
Bing-Robert-CRCJ-3380-600-RACE CRIME AND JUSTICE,3.1667,3.3333,2.8333,3.6667,3
Bing-Robert-CRCJ-5342-001-ETHICS IN CRIMINAL JUSTICE,3.6,3.4,3.4,4,4.6
Bishop-Linda-COMS-1301-015-FUNDAMENTALS PUBLIC SPEAKING,4.625,4.625,4.5,4.25,4.5
Bishop-Linda-COMS-2302-006-PROFESSIONAL TECHNICAL COMM,4.6667,4.8333,4.6667,4.5833,4.8333
Bishop-Linda-COMS-2302-007-PROFESSIONAL TECHNICAL COMM,3.7692,3.9167,4.0769,4.1538,4.0769
Bishop-Linda-COMS-2302-013-PROFESSIONAL TECHNICAL COMM,3.4167,3.5833,3.4545,3.4167,3.5
Bishop-Linda-COMS-2302-014-PROFESSIONAL TECHNICAL COMM,4.2727,4.3636,4.0909,4,4.0909
Bissessar-Nandini-MAVS-1000-053-First Year Experience,4.3333,4.3333,4.4444,4.1111,4.4444
Bitenc-Sandra-ACCT-2302-001-PRINCIPLES OF ACCOUNTING II,4.5333,4.6667,4.2667,4.2667,4.6
Bitenc-Sandra-ACCT-2302-002-PRINCIPLES OF ACCOUNTING II,4.6667,4.6667,4.5556,4.4444,4.5556
Bitenc-Sandra-ACCT-4325-001-GOVERNMENTAL ACCOUNTING,4.6667,4.8,4.2,4.4,4.6
Bittner-Charles-SOCI-1311-005-INTRO TO SOCIO,4.3913,4.5217,4.413,4.4222,4.413
Bittner-Charles-SOCI-2312-001-CONTEMPORARY SOCIAL ISSUES,4.5926,4.6296,4.6667,4.4815,4.5185
Black-Beverly-SOCW-6396-001-SOCW EDUC: PRINCIPLES & SKILLS,4.125,4,4,4.25,3.8571
Blackburn-Donald-ECON-3301-002-THE ECONOMICS OF HEALTH,3.7273,3.9091,3.5455,4.0455,3.9545
Blackburn-Donald-ECON-3303-006-MONEY & BANKING,4.0968,4.3226,4.0333,4,4.2258
Blackmon-Heath-BIOL-2458-005-HUMAN ANATOMY & PHYSIOLOGY II,5,5,5,5,5
Blackmon-Heath-BIOL-2458-008-HUMAN ANATOMY & PHYSIOLOGY II,4.8333,5,5,5,4.8333
Blaisdell-Teriann-ENGL-2338-001-TECHNICAL WRITING,4.5,4.5,4.5,4.5,4.25
Blaisdell-Teriann-ENGL-2338-003-TECHNICAL WRITING,4.5714,4.8571,4.7143,4.4286,4.4286
Blakeney-Amy-SOCW-2311-001-INTRO SOC WORK,4.3333,4.3333,4.3333,4.4545,4.5833
Blakeney-Amy-SOCW-3301-001-HUMAN BEHAVIOR & SOCIAL ENVIRO,4.1429,3.9286,4.2143,4.1538,4.2857
Blakeney-Amy-SOCW-3304-003-SW PRACTIC II,4.6667,4.4444,4.5,4.75,4.5
Blakeney-Amy-SOCW-6326-005/007-DIRECT PRACT WITH CHILD & FAM,3.6667,3.3333,3,4,2.3333
Blount-April-COMS-1301-005-FUNDAMENTALS PUBLIC SPEAKING,4.6667,4.7778,4.6667,4.6667,4.6667
Blount-April-COMS-1301-011-FUNDAMENTALS PUBLIC SPEAKING,4.4545,4.8182,4.5455,4.5455,4.8182
Blount-April-COMS-1301-014-FUNDAMENTALS PUBLIC SPEAKING,4.5714,4.5714,4.5714,4.5,4.6667
Blount-April-COMS-1301-017-FUNDAMENTALS PUBLIC SPEAKING,4.5,4.3,4.3,4.7,4.6
Blount-April-COMS-2304-003-GROUP COMM PRINCIPLES,5,4.8,5,5,5
Boardman-Bonnie-IE-1104-002-INTRODUCTION TO ENGINEERING,3.5,4.25,4.5,4,4.25
Boardman-Bonnie-IE-1104-003-INTRODUCTION TO ENGINEERING,4.6667,5,4.6667,4.6667,4.6667
Boardman-Bonnie-IE-1105-001-INTRO INDUSTRIAL ENGR LAB,4.36,4.4,4.36,4.16,4.5417
Boardman-Bonnie-IE-2305-001-COMPUTER APPLICATIONS IN IE,4.3158,4.4211,4.2632,4.3158,4.3684
Bogard-Rick-MUSIC PRIVATE LESSONS,4.75,4.5,5,5,4.5
Bokka-Apparao-CHEM-2182-002-ORGANIC CHEMISTRY II LAB,4.25,4.75,4.125,4.4286,4.875
Bokka-Apparao-CHEM-2182-006-ORGANIC CHEMISTRY II LAB,5,5,4,5,5
Bold-Lashaunn-SOCW-2311-002-INTRO SOC WORK,4.8462,4.9231,4.9231,4.8462,4.9231
Bold-Lashaunn-SOCW-2311-005-INTRO SOC WORK,4.6429,4.5714,4.5714,4.5714,4.6429
Bold-Lashaunn-SOCW-4252-002-SW FIELD II SEM & SOCW-4452-002-SW FIELD INSTRUC II,4.5,4.4286,4.375,4.5,4.4286
Boles-Rebecca-ARCH-1301-001/002-INTRO ARCHITECTURE/INT DESIGN & ARCH-5301-001-PRINCIPLES OF ARCHITECTURE,4,4.0538,3.8387,3.9032,3.9785
Bolsterli-Eric-COLA-1100-001-INRO LIB ARTS,4.3333,4.3333,4.3333,4.3333,4.3333
Bolsterli-Eric-COLA-1100-002-INRO LIB ARTS,5,4.8,4.8,5,4.8
Bond-Philip-INSY-3303-002-COMP NTWKS & DIST COMPUTING,4.7941,4.8235,4.8529,4.6765,4.8485
Bond-Philip-INSY-3303-003-COMP NTWKS & DIST COMPUTING,4.8846,4.8462,4.9615,4.9231,4.8462
Boswell-Bill-ARCH-2551-002-BASIC DESIGN AND DRAWING I,3.8333,4.1667,3.5,4.3333,3.6667
Boswell-Bill-ARCH-3553-002-DESIGN STUDIO: ARCHITECTURE I,4.9091,4.8182,4.7273,4.7273,4.0909
Bowen-Brandi-MAVS-1000-028-First Year Experience,4.3333,4.5556,4.3333,4.5556,4.3333
Bower-Bruce-SOCW-6320-001-PERSONAL RELATIONSHIPS,4.25,4.375,4.3125,4.1875,4.3125
Bower-Bruce-SOCW-6325-001-ADVANCED MICRO PRACTICE,4.8462,5,4.6154,4.5385,4.8462
Bower-Bruce-SOCW-6325-002-ADVANCED MICRO PRACTICE,4.8571,4.8571,4.7143,4.7143,4.7143
Bower-Bruce-SOCW-6325-008-ADVANCED MICRO PRACTICE,4.3333,4.5833,4.4167,4.25,4.1667
Bower-Bruce-SOCW-6389-002-Brain and Behavior,4.8462,4.9231,4.9231,4.8462,4.8462
Bowling-Alan-MAE-2323-001-DYNAMICS,4.1538,4.1154,3.5,4.5,3.7308
Bowling-Alan-MAE-4345-001-INTRODUCTION TO ROBOTICS,4.25,4.5,4.75,4.75,4.75
Bowman-Theron-CRCJ-5393-001-TOP CRIME CRIM,4.6667,5,5,5,5
Boyd-Erin-PSYC-3318-002-ABNORMAL PSYCHOLOGY,4.625,4.7083,4.4167,4.125,4.4583
Boyd-Jeanean-NURS 3645.500 & NURSU 3645.500 RN-BSN PROFESSIONAL NURSING,4.4217,4.4337,4.4337,4.4512,4.1646
Boyd-Jeanean-NURS-3645-502-NURSU-3645-502-RN-BSN PROFESSIONAL NURSING,4.3562,4.3151,4.274,4.3662,4.169
Boyd-Jeanean-NURS-3645-506-RN-BSN PROFESSIONAL NURSING,4.3846,4.3077,4.2308,4.3077,4.4
Boyd-Jeanean-NURS-3645-508-RN-BSN PROFESSIONAL NURSING,4.3077,4.2564,4.1316,4.1026,4.2105
Boyea-Brent-POLS-2311-007-GOVT OF U S,4.4189,4.6081,4.3649,3.8649,4.1486
Boyea-Brent-POLS-5323-001-STATE COURT SYSTEMS,4.7143,5,5,5,5
Brandt-Andrew-PHYS-3313-001-INTRODUCTION TO MODERN PHYSICS,3.4375,3,3.25,4.25,3.375
Brannon-Grace-COMS-1301-004-FUNDAMENTALS PUBLIC SPEAKING,4.7,4.8,4.75,4.6,4.8421
Bredow-Jonathan-EE-2403-001-ELECTRONICS I,4.4444,4.5556,3.7778,4.1111,4.5556
Bredow-Jonathan-EE-2403-102-ELECTRONICS I,3.8,4.4,3.8,4.2,4.6
Bredow-Jonathan-EE-2403-103-ELECTRONICS I,4,4.6667,4.3333,4.6667,5
Breuer-Kimberly-HIST-1311-006-U.S. HISTORY TO 1865,4.375,4.25,3.8125,3.9375,4.25
Brewster-Billy-ACCT-2301-006-PRINCIPLES OF ACCOUNTING I,4.7273,4.6364,4.6,4.8182,4.7
Brewster-Billy-ACCT-4318-002-AUDITING,4.3571,4.1429,4.1429,4.2857,4.2857
Brewster-Billy-ACCT-5316-001-AUDIT CONCEPTS & PRACTICES,4.7692,4.5385,4.3846,4.5385,4.5385
Brezeale-Darin-CSE-3380-001-LINEAR ALGEBRA FOR CSE,4.7273,4.7273,4.7273,4.6364,4.7273
Brezeale-Darin-CSE-4308-001 & CSE-5360-001-ARTIFICIAL INTELLIGENCE I,4.5909,4.7273,4.5909,4.5,4.9545
Brezeale-Darin-CSE-4345-001-COMPUTATIONAL METHODS,4.875,4.75,4.8571,4.625,4.75
Bridges-Catherine-BEEP-4384-002-LIT METHODS ESL/BILING CLSRMS,4.1429,4.4286,4.2143,4.5,4.2143
Brittain-Michael-ENGL-1301-013-RHETORIC AND COMPOSITION I,4.8889,4.7778,4.875,4.8889,4.6667
Brittain-Michael-ENGL-1301-017-RHETORIC AND COMPOSITION I,5,4.6,5,4.8,5
Britton-David-BIOL-3442-001-PRINCIPLES ANIMAL PHYSIOLOGY,4.6875,4.625,4.5625,4.5,4.5
Britton-David-BIOL-3442-004-PRINCIPLES ANIMAL PHYSIOLOGY,4.5882,4.5882,4.5294,4.5294,4.7059
Bronson-Maryhelen-KINE-1315-001-TEACHING PHYSICAL EDUCTION,4.1818,4.1818,4.1818,4.2727,4.0952
Brown-Amber-EDUC-4316-003-FOUNDATIONS OF EDUCATION,4.2,4.0667,4.1333,4.3333,4.6667
Brown-Amber-EDUC-4316-005-FOUNDATIONS OF EDUCATION,4.4,4.4,4.4,4.4,4.4
Brown-Amber-ELED-4317-001-GROWTH DEVEL & LRNG THEORY,4.05,4,3.8,3.85,4.15
Brown-Bobbie-MAVS-1000-012-First Year Experience,4.5,4.5,4.5,4.25,4.5
Brown-Casey-EDAD-5360-001-Leadership Theory,4.5556,4.5556,4.5556,4.5556,4.5556
Brown-Shirley-MATH-0302-500-FUNDAMENTALS OF ALGEBRA,4.1667,3.8333,3.8333,4.5,4.6667
Brown-Shirley-MATH-1302-502-COLLEGE ALGEBRA,3.8182,3.7273,3.6364,3.6364,4.1818
Brown-Tara-ECON-3310-001-MICROECONOMICS,4.3611,4.4722,4.1944,4.2286,4.4444
Brown-Tara-ECON-3310-002-MICROECONOMICS,4.4348,4.4348,4.3913,4.3478,4.2609
Brown-Tara-ECON-5311-001-ECONOMIC ANALYSIS,4.4815,4.4444,4.4815,4.2963,4.4815
Browning-Darcey-LING-2371-001-LANGUAGE IN MULTICULTURAL USA,3.8571,4,3.8571,4.1429,3.8571
Bruntz-Robert-PHYS-1444-002-GENERAL TECHNICAL PHYSICS II,4.3333,4.2667,4.2333,4.2,4.3
Bruntz-Robert-PHYS-1444-003-GENERAL TECHNICAL PHYSICS II,4.2093,3.7674,3.9535,4.093,4.2791
Bryant-Christopher-PHYS-1443-010-GENERAL TECHNICAL PHYSICS I,4.5714,4.2857,4.4286,4.1429,4.1429
Bryant-Michael-NURS-5341-400-FINANCIAL MANAGEMENT IN NSG,4.3684,4.4737,4.3158,4.5263,4.3158
Bryson-Sherry-SOCW-5301-001-HUMAN BEHAV & SOCIAL ENV I,4.4118,4,4.0588,4,3.7647
Bryson-Sherry-SOCW-5301-003/004-HUMAN BEHAV & SOCIAL ENV I,4.0588,4.3529,4.0588,4.4118,4.1176
Bubert-Dennis-MUSIC PRIVATE LESSONS,4.25,3.75,3.75,4.25,3.5
Buckley-Michael-ARCH-5670-002-ADVANCED DESIGN STUDIO,4.5556,4.4444,4.3333,4.3333,4.4444
Buckman-Michael-BCOM-3360-005-EFFECTIVE BUSINESS COMMUNICATI,4.2,4.4,4.2667,4.1333,4.4667
Buckman-Michael-BCOM-3360-006-EFFECTIVE BUSINESS COMMUNICATI,4.4286,4.4762,4.4286,4.0952,4.4
Buckman-Michael-BCOM-3360-007-EFFECTIVE BUSINESS COMMUNICATI,4.6111,4.6667,4.7647,4.6667,4.2222
Buckman-Michael-BCOM-3360-013-EFFECTIVE BUSINESS COMMUNICATI,4.7333,4.7333,4.6429,4.7333,4.2667
Buckman-Michael-BCOM-3360-014-EFFECTIVE BUSINESS COMMUNICATI,4.7826,4.7826,4.7391,4.6087,4.3043
Bugarin Cervantes-Alejan-CHEM-5309-001-ORGANIC CHEMISTRY I,4.4,4.6,4.6,4.8,4.8667
Bui-Brian-PHYS-1441-002-GENERAL COLLEGE PHYSICS I,2.92,2.96,2.96,3.6,3.4
Bunker-Diane-EDAD-5381-011-POLITICAL LEGAL ASPECTS EDUC,4.2907,4.2791,4.2118,4.3059,4.2471
Burdick-Constance-SOCW-4251-001-SOCIAL WORK FIELD SEMINAR I & SOCW-4451-001-SOCIAL WORK FIELD INSTRUC I,4.1538,4.3846,3.9231,4.3077,4.0769
Burdick-Constance-SOCW-6389-001-Brain and Behavior,4.2727,3.9091,3.4545,3.6364,4.4545
Burgess-Jackson-Keith-PHIL-2311-001-LOGIC,3.2222,3.6667,2.8889,3.7778,3.3333
Burgess-Jackson-Keith-PHIL-3330-001-SOCIAL & POLITICAL PHILOSOPHY,4.6667,5,4.6667,4.3333,4
Burke-Leeann-SCIE-1101-002-STEP 1: INQRY APPRCH TEACHING,4.5714,4.5714,4.5714,4.4286,4.4286
Burke-Meighan-MAVS-1000-042-First Year Experience,4.2222,4.2778,4.2778,4,4.4444
Burke-Patricia-SOCW-3302-003-HUM BEHAV II,4.8571,4.8571,4.8571,4.8571,4.8571
Burke-Patricia-SOCW-6354-001-SOC OPRSD EXCLUS & JUSTICE,4.2857,4.8571,4.4286,4.4286,4.5714
Burrus-Mary-MATH-0302-502-FUNDAMENTALS OF ALGEBRA,4.8,4.6,4.8,4.8,4.6
Burton-John-MUSIC PRIVATE LESSONS,4.3333,4.6667,4.6667,4.6667,4.6667
Butler-Donald-EE-5343-101-SILICON IC FABRICATION TECH,3.8333,4,3.8333,3.8333,3.6667
Butler-Donald-EE-5343-102-SILICON IC FABRICATION TECH,4.1,4.2,4.4,4.4,4.5
Butler-Donald-EE-5381-001/002-FNDTNS IN SEMICONDUCTORS,3.9167,4.125,4,3.75,4.25
Butler-Randall-CRCJ-2334-007-INTRO CRJU SYS,2.8889,2.6111,2.5556,3.2778,3.0556
Butler-Randall-CRCJ-3310-001-PROF WRITING FOR CRCJ MAJORS,3.2353,3.7647,3.5294,3.6471,3.2941
Butler-Randall-CRCJ-4333-002-INSTIT CORRECT,3.9286,4,3.7692,4.0714,3.8571
Butler-Randall-CRCJ-4333-103-INSTIT CORRECT,4,4,4,4.25,4.5
Butler-Yvonne-SOCW-3306-001-SW PRACTIC III,4.5385,4.4615,4.4615,4.6154,4.3846
Butler-Yvonne-SOCW-5310-001-MICRO-MACRO PRACT FIELD SEM & SOCW-5551-001-APPLIED SOCIAL WORK PRACTICE I,4.2,3.8,4.2,4.2,3.8
Butler-Yvonne-SOCW-5310-004-MICRO-MACRO PRACT FIELD SEM,3.1111,3.4444,2.7778,3.4444,2.7778
Butler-Yvonne-SOCW-5551-004-APPLIED SOCIAL WORK PRACTICE I,3.5714,3.8571,3.2857,3.8571,3.4286
Byrd-Miriam-PHIL-2300-001-INTRO TO PHIL,4.3333,4.6,4.3333,4.4,4.5333
Byrd-Miriam-PHIL-3301-001-ANCIENT PHIL,4.3571,4.4286,4.4286,4.4286,4.5714
Cabrera-Thelma-SPAN-1441-004-BEGINNING SPANISH I,4.1818,4.3636,3.6364,4.1818,3.6364
Cabrera-Thelma-SPAN-1441-009-BEGINNING SPANISH I,4.5556,4.5,4.1111,4.2222,4.2222
Cabrera-Thelma-SPAN-2313-001-INTERMEDIATE SPANISH I,4.7333,4.8,4.4667,4.6,4.6
Cabrera-Thelma-SPAN-2313-006-INTERMEDIATE SPANISH I,4.1765,4.6471,3.8824,4.1765,4.2941
Cabrera-Thelma-SPAN-2313-007-INTERMEDIATE SPANISH I,3.75,4.5,3.625,4.25,4
Cacola-Priscila-KINE-3388-001-THEORY IN MOTOR DEVELOPMENT,4.8,5,4.7,4.4,4.4
Cacola-Priscila-KINE-4323-001-MOTOR CONTROL AND LEARNING,4.8889,4.8889,4.8889,4.7778,4.8824
Cai-Yuanzhe-CSE-2320-001-ALGORITHMS & DATA STRUCTURES,3.1667,4,2.6667,3.5455,4.1667
Cai-Yuanzhe-CSE-5311-004-DSGN & ANLY ALGORITHMS,3.6667,3.6667,3.375,3.6667,3.875
Calloni-Ben-CSE-5388-001 & CSE-4392-007-SPEC TOPS INFORMATION SECURITY,4.7,4.75,4.7,4.6,4.7
Cameron-Laura-MUSI-1185-003-SIGHTSINGING & EAR TRAIN I,4.3684,4.5263,4.2632,4.6316,4.6316
Cameron-Laura-MUSI-1325-001-THEORY & HARMONY I,4.4545,4.7273,4.5455,4.6364,4.7273
Cameron-Laura-MUSI-1325-003-THEORY & HARMONY I,4.8571,4.7143,4.7143,4.8571,4.8571
Campbell-Darlene-MATH-0302-088-FUNDAMENTALS OF ALGEBRA,3.4286,3.6667,3.5714,3.7143,3.4286
Campbell-Darlene-MATH-1303-002-TRIGONOMETRY,4.4667,4.5333,4.2,3.9333,4.0667
Campbell-Darlene-MATH-1303-003-TRIGONOMETRY,4.1765,4.3889,4.0556,3.8333,3.8333
Campbell-Darlene-MATH-1322-002-PRECALCULUS I,4.3333,4.5833,4.3333,4.1667,4.75
Campbell-Darlene-MATH-1322-005-PRECALCULUS I,4.6,4.6,4.5,4.3,4.4
Cannon-Alan-OPMA-3306-001-OPERATIONS MANAGEMENT,4.5882,4.7647,4.7059,4.6471,4.7059
Cannon-Alan-OPMA-3306-003-OPERATIONS MANAGEMENT,3.3182,3.9091,3.0455,3.6364,3.3182
Cannon-Alan-OPMA-5361-020-OPERATIONS MANAGEMENT,3.75,4.125,3.5625,4,4.1875
Cao-Nguyen-GEOL-1302-013-EARTH HISTORY,3.4,3.8,3.2,3.2,3.2
Cao-Nguyen-GEOL-1350-011-INTRODUCTION TO OCEANOGRAPHY,2.625,3.375,3.125,2.625,3.625
Capone-Eugene-AS-1121-001-FOUNDATION OF THE US AIR FORCE,5,5,5,5,5
Capone-Eugene-AS-1181-001-LEADERSHIP LABORATORY,4.8333,4.8333,4.8333,4.8333,4.8333
Capone-Eugene-AS-2121-001-US AIR AND SPACE POWER,5,5,5,5,5
Capone-Eugene-AS-4301-001-NATL SECURITY AFF/ ACTIVE DUTY,4,4,4,4,4
Capote-Angela-SPAN-1441-008-BEGINNING SPANISH I,4.25,4.25,4.0833,3.9167,4.25
Capote-Angela-SPAN-1441-012-BEGINNING SPANISH I,4.7143,4.6429,4.5714,4.5714,4.5714
Carbajal-Jose-SOCW-6336-004-DIR PRACTICE IN MENTAL HEALTH,4.1667,4.5,4.1667,4.3333,4.5
Card-Daren-BIOL-3454-003-GENERAL ZOOLOGY,4.8182,4.8182,4.7273,4.4545,4.8182
Card-Daren-BIOL-3454-005-GENERAL ZOOLOGY,4.2,4.4,4.4667,4.2,4.3571
Carlson-Susan-NURS-5631-002-ADV CLINICAL NURSING PRACTICUM,5,5,5,5,5
Carpenter-Blake-MAVS-1000-041-First Year Experience,4.75,5,4.875,4.875,4.875
Carpenter-Galen-ACCT-2301-007-PRINCIPLES OF ACCOUNTING I,4.3846,4.5385,4.0769,4.3333,4.5385
Carpenter-Galen-ACCT-2301-008-PRINCIPLES OF ACCOUNTING I,3.6667,4,3.6667,4,3.6667
Carpenter-Galen-ACCT-4304-001-COST ACCOUNTING,4.3333,4.4667,4.4667,4.3333,4.5333
Carpenter-Karel-CRCJ-2334-002-INTRO CRJU SYS,4.5484,4.4194,4.4516,4.1935,4.3548
Carpenter-Karel-CRCJ-2334-005-INTRO CRJU SYS,4.1111,4.0556,3.6667,3.8889,4.2778
Carpenter-Karel-CRCJ-2334-103-INTRO CRJU SYS,4.5,5,5,5,5
